incident_id,host,component,pid,log_window,label
8a7f26d4,scaqat02celadm01,kernel,NA,"""Jul 27 20:54:42 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.49,6> stalling for more than 1 min...(drops=9 err=0)""
""Jul 27 20:54:44 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.117,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:44 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.117,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:46 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.147,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:46 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.148,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:47 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.116,0> stalling for more than 1 min...(drops=15 err=0)""
""Jul 27 20:54:47 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.116,0> stalling for more than 1 min...(drops=15 err=0)""
""Jul 27 20:54:48 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.148,2> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:48 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.148,0> stalling for more than 1 min...(drops=15 err=0)""
""Jul 27 20:54:49 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.147,0> stalling for more than 1 min...(drops=15 err=0)""
""Jul 27 20:54:51 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.115,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:52 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.114,0> stalling for more than 1 min...(drops=15 err=0)""
""Jul 27 20:54:52 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.114,0> stalling for more than 1 min...(drops=15 err=0)""
""Jul 27 20:54:52 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.115,0> stalling for more than 1 min...(drops=15 err=0)""
""Jul 27 20:54:54 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.114,6> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:54 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.114,1> stalling for more than 1 min...(drops=14 err=0)""",0
c9cba1bd,scaqat02celadm01,kernel,NA,"""Jul 27 20:55:05 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.149,0> stalling for more than 1 min...(drops=13 err=0)""
""Jul 27 20:55:06 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.150,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:55:06 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.150,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:55:06 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.149,0> stalling for more than 1 min...(drops=14 err=0)""",0
198acaee,localhost,dbus-daemon,71758,"""Jul 28 00:44:02 localhost dbus-daemon[71758]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found.""
""Jul 28 00:44:02 localhost dbus-daemon[71758]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found.""
""Jul 28 00:44:03 localhost dbus-daemon[71758]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found.""
""Jul 28 00:44:03 localhost dbus-daemon[71758]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found.""
""Jul 28 00:44:03 localhost dbus-daemon[71758]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found.""
""Jul 28 00:44:03 localhost dbus-daemon[71758]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found.""",-1
379c3445,scaqat02celadm02,systemd-modules-load,2092,"""Jul 27 17:47:23 scaqat02celadm02 systemd-modules-load[2092]: Failed to find module 'rds_rdma'""",1
f95f02f2,scaqat02celadm02,systemd,1,"""Jul 27 17:47:23 scaqat02celadm02 systemd[1]: rdma-load-modules@rdma.service: Failed with result 'exit-code'.""
""Jul 27 17:47:23 scaqat02celadm02 systemd[1]: Failed to start Load RDMA modules from /etc/rdma/modules/rdma.conf.""
""Jul 27 17:47:25 scaqat02celadm02 systemd[1]: sys-devices-pci0000:20-0000:20:01.1-0000:21:00.0-infiniband-mlx5_0.device: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit initialize_vf.service not found.""",1
39b3029d,scaqat02celadm02,kernel,NA,"""Jul 27 17:47:38 scaqat02celadm02 kernel: mlx5_core 0000:21:00.0: mlx5_cmd_out_err:808:(pid 10420): INIT2RTR_QP(0x503) op_mod(0x0) failed, status bad parameter(0x3), syndrome (0x29e0df), err(-22)""
""Jul 27 17:47:38 scaqat02celadm02 kernel: RDS/IB: Failed to setup fastreg resources""",
b7960652,scaqat02celadm02,systemd-modules-load,2305,"""Jul 27 17:57:06 scaqat02celadm02 systemd-modules-load[2305]: Failed to find module 'rds_rdma'""",1
7a102281,scaqat02celadm02,systemd,1,"""Jul 27 17:57:06 scaqat02celadm02 systemd[1]: rdma-load-modules@rdma.service: Failed with result 'exit-code'.""
""Jul 27 17:57:06 scaqat02celadm02 systemd[1]: Failed to start Load RDMA modules from /etc/rdma/modules/rdma.conf.""
""Jul 27 17:57:08 scaqat02celadm02 systemd[1]: sys-devices-pci0000:20-0000:20:01.1-0000:21:00.0-infiniband-mlx5_0.device: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit initialize_vf.service not found.""",1
804d37ed,scaqat02celadm02,kernel,NA,"""Jul 27 17:57:22 scaqat02celadm02 kernel: mlx5_core 0000:21:00.0: mlx5_cmd_out_err:808:(pid 10720): INIT2RTR_QP(0x503) op_mod(0x0) failed, status bad parameter(0x3), syndrome (0x29e0df), err(-22)""
""Jul 27 17:57:22 scaqat02celadm02 kernel: RDS/IB: Failed to setup fastreg resources""",
8d9c2655,scaqat02celadm02,kernel,NA,"""Jul 27 20:54:32 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.83,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:32 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.84,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:33 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.51,0> stalling for more than 1 min...(drops=10 err=0)""
""Jul 27 20:54:34 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.84,3> stalling for more than 1 min...(drops=13 err=0)""
""Jul 27 20:54:34 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.84,4> stalling for more than 1 min...(drops=13 err=0)""
""Jul 27 20:54:34 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.55,::ffff:192.197.252.83,0> stalling for more than 1 min...(drops=15 err=0)""
""Jul 27 20:54:34 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.55,::ffff:192.197.252.84,0> stalling for more than 1 min...(drops=15 err=0)""",0
db70f387,scaqat02celadm02,kernel,NA,"""Jul 27 20:54:37 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.50,0> stalling for more than 1 min...(drops=10 err=0)""
""Jul 27 20:54:37 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.55,::ffff:192.197.252.50,0> stalling for more than 1 min...(drops=10 err=0)""
""Jul 27 20:54:37 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.55,::ffff:192.197.252.51,0> stalling for more than 1 min...(drops=10 err=0)""
""Jul 27 20:54:37 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.55,::ffff:192.197.252.82,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:37 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.55,::ffff:192.197.252.81,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:37 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.81,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:37 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.82,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:38 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.82,6> stalling for more than 1 min...(drops=13 err=0)""
""Jul 27 20:54:38 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.82,1> stalling for more than 1 min...(drops=13 err=0)""
""Jul 27 20:54:39 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.55,::ffff:192.197.252.49,0> stalling for more than 1 min...(drops=10 err=0)""
""Jul 27 20:54:39 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.49,0> stalling for more than 1 min...(drops=10 err=0)""",0
7cc93d36,scaqat02celadm02,kernel,NA,"""Jul 27 20:54:42 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.48,0> stalling for more than 1 min...(drops=10 err=0)""
""Jul 27 20:54:42 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.55,::ffff:192.197.252.48,0> stalling for more than 1 min...(drops=10 err=0)""",0
4697f1a9,scaqat02celadm02,kernel,NA,"""Jul 27 20:54:46 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.55,::ffff:192.197.252.117,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:46 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.55,::ffff:192.197.252.116,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:46 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.116,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:48 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.147,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:48 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.117,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:48 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.117,4> stalling for more than 1 min...(drops=13 err=0)""
""Jul 27 20:54:49 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.55,::ffff:192.197.252.147,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:49 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.55,::ffff:192.197.252.148,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:49 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.148,2> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:50 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.55,::ffff:192.197.252.115,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:50 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.114,2> stalling for more than 1 min...(drops=13 err=0)""
""Jul 27 20:54:50 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.115,0> stalling for more than 1 min...(drops=13 err=0)""
""Jul 27 20:54:52 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.55,::ffff:192.197.252.114,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:52 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.114,0> stalling for more than 1 min...(drops=14 err=0)""",0
d19222cd,scaqat02celadm02,kernel,NA,"""Jul 27 20:55:05 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.55,::ffff:192.197.252.150,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:55:05 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.149,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:55:06 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.150,1> stalling for more than 1 min...(drops=13 err=0)""
""Jul 27 20:55:06 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.150,6> stalling for more than 1 min...(drops=13 err=0)""
""Jul 27 20:55:06 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.150,5> stalling for more than 1 min...(drops=13 err=0)""
""Jul 27 20:55:06 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.150,4> stalling for more than 1 min...(drops=13 err=0)""
""Jul 27 20:55:06 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.149,3> stalling for more than 1 min...(drops=13 err=0)""
""Jul 27 20:55:06 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.149,1> stalling for more than 1 min...(drops=13 err=0)""
""Jul 27 20:55:06 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.149,6> stalling for more than 1 min...(drops=13 err=0)""
""Jul 27 20:55:06 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.149,4> stalling for more than 1 min...(drops=13 err=0)""
""Jul 27 20:55:06 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.149,2> stalling for more than 1 min...(drops=13 err=0)""
""Jul 27 20:55:06 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.149,5> stalling for more than 1 min...(drops=13 err=0)""
""Jul 27 20:55:06 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.150,3> stalling for more than 1 min...(drops=13 err=0)""
""Jul 27 20:55:06 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.54,::ffff:192.197.252.150,2> stalling for more than 1 min...(drops=13 err=0)""
""Jul 27 20:55:07 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.55,::ffff:192.197.252.150,2> stalling for more than 1 min...(drops=13 err=0)""
""Jul 27 20:55:07 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.55,::ffff:192.197.252.150,6> stalling for more than 1 min...(drops=13 err=0)""
""Jul 27 20:55:08 scaqat02celadm02 kernel: RDS/IB: re-connect <::ffff:192.197.252.55,::ffff:192.197.252.149,0> stalling for more than 1 min...(drops=15 err=0)""
""Jul 28 01:14:30 localhost kernel: tsc: Marking TSC unstable due to TSCs unsynchronized""",
479108de,localhost,systemd-vconsole-setup,192,"""Jul 28 01:14:30 localhost systemd-vconsole-setup[192]: KD_FONT_OP_GET failed while trying to get the font metadata: Invalid argument""
""Jul 28 01:14:32 localhost systemd-vconsole-setup[823]: KD_FONT_OP_GET failed while trying to get the font metadata: Invalid argument""
""Jul 28 01:14:32 localhost systemd-vconsole-setup[851]: KD_FONT_OP_GET failed while trying to get the font metadata: Invalid argument""",-1
7bd9609f,localhost,systemd,1,"""Jul 28 01:16:02 localhost systemd[1]: Dependency failed for /dev/disk/by-label/SWAP.""
""Jul 28 01:16:02 localhost systemd[1]: Dependency failed for Swap.""
""Jul 28 01:16:02 localhost systemd[1]: swap.target: Job swap.target/start failed with result 'dependency'.""
""Jul 28 01:16:02 localhost systemd[1]: dev-disk-by\\x2dlabel-SWAP.swap: Job dev-disk-by\\x2dlabel-SWAP.swap/start failed with result 'dependency'.""
""Jul 28 01:16:02 localhost systemd[1]: dev-disk-by\\x2dlabel-SWAP.device: Job dev-disk-by\\x2dlabel-SWAP.device/start failed with result 'timeout'.""",-1
2d071827,localhost,kdumpctl,2742,"""Jul 28 01:16:03 localhost kdumpctl[2742]: kdump: Failed to mount LABEL=DBORA for kdump preflight check.""
""Jul 28 01:16:03 localhost kdumpctl[2568]: kdump: mkdumprd: failed to make kdump initrd""",-1
76185174,localhost,systemd,1,"""Jul 28 01:16:03 localhost systemd[1]: kdump.service: Failed with result 'exit-code'.""
""Jul 28 01:16:03 localhost systemd[1]: Failed to start Crash recovery kernel arming.""",-1
9503cc85,localhost,systemd,1,"""Jul 28 01:18:03 localhost systemd[1]: Dependency failed for /dev/disk/by-label/SWAP.""
""Jul 28 01:18:03 localhost systemd[1]: dev-disk-by\\x2dlabel-SWAP.swap: Job dev-disk-by\\x2dlabel-SWAP.swap/start failed with result 'dependency'.""
""Jul 28 01:18:03 localhost systemd[1]: dev-disk-by\\x2dlabel-SWAP.device: Job dev-disk-by\\x2dlabel-SWAP.device/start failed with result 'timeout'.""",-1
977eae6c,scaqat02client01vm01,kernel,NA,"""Jul 27 19:22:01 scaqat02client01vm01 kernel: tsc: Marking TSC unstable due to TSCs unsynchronized""",-1
d06b5938,scaqat02client01vm01,systemd-vconsole-setup,906,"""Jul 27 19:22:01 scaqat02client01vm01 systemd-vconsole-setup[906]: KD_FONT_OP_GET failed while trying to get the font metadata: Invalid argument""",-1
24cdd91f,scaqat02client01vm01,systemd-vconsole-setup,1780,"""Jul 27 19:22:04 scaqat02client01vm01 systemd-vconsole-setup[1780]: KD_FONT_OP_GET failed while trying to get the font metadata: Invalid argument""
""Jul 27 19:22:04 scaqat02client01vm01 systemd-vconsole-setup[1830]: KD_FONT_OP_GET failed while trying to get the font metadata: Invalid argument""",-1
1a8f1387,scaqat02client01vm01,rngd,8693,"""Jul 27 19:22:24 scaqat02client01vm01 rngd[8693]: [hwrng ]: Initialization Failed""",-1
