incident_id,host,component,label,confidence,reason,evidence,additional_sources,log_window,dev_feedback
e3657394,localhost,systemd,1,0.9,"llm-arbiter:
Severity Assessment: Critical – The logs indicate that the systemd-logind.service failed to start due to a timeout, which is a critical issue affecting system reliability. This service is responsible for managing user logins and sessions; its failure can prevent users from logging in, disrupt session management, and impact other services that depend on it. The timeout suggests that systemd-logind is unable to communicate with the D-Bus system bus, possibly due to D-Bus not being active or accessible. This scenario can occur if the D-Bus service is not running, is misconfigured, or if there are issues with inter-process communication mechanisms. To reproduce this issue, one could stop the D-Bus service and attempt to start systemd-logind. To resolve this, ensure that the D-Bus service is running correctly and that systemd-logind can connect to it. Restarting the D-Bus service and then systemd-logind may resolve the issue. If the problem persists, further investigation into D-Bus configurations and logs is necessary. Similar issues have been reported in various Linux distributions, indicating that this is a known problem with critical implications for system functionality.

[Note: reason had fewer than required lines.]",https://unix.stackexchange.com/questions/393394/systemd-logind-service-fails-to-start-when-attempting-to-return-from-rescue-tar;https://unix.stackexchange.com/questions/477783/systemd-service-timeout;https://stackoverflow.com/questions/45012415/systemd-start-operation-timed-out-terminating,https://lists.freedesktop.org/archives/systemd-devel/2023-January/048712.html - Discussion on systemd-logind.service timeout issues;https://discuss.linuxcontainers.org/t/systemd-logind-service-failed-to-start-in-nested-unprivileged-container/6222 - Systemd-logind.service failure in nested containers;https://forums.opensuse.org/t/systemd-and-dbus-problem-on-fresh-installed-system/131007 - Systemd and D-Bus problems on fresh installations,"""Jul 28 00:45:10 localhost systemd[1]: systemd-logind.service: Failed with result 'timeout'.""
""Jul 28 00:45:10 localhost systemd[1]: Failed to start Login Service.""",
17440370,scaqat02celadm01,systemd-modules-load,1,0.8735,known-emb-match,38403638,,"""Jul 27 17:47:45 scaqat02celadm01 systemd-modules-load[2122]: Failed to find module 'rds_rdma'""",
14f04601,scaqat02celadm01,systemd,1,0.7851,known-emb-match,38403638,,"""Jul 27 17:47:45 scaqat02celadm01 systemd[1]: rdma-load-modules@rdma.service: Failed with result 'exit-code'.""
""Jul 27 17:47:45 scaqat02celadm01 systemd[1]: Failed to start Load RDMA modules from /etc/rdma/modules/rdma.conf.""
""Jul 27 17:47:47 scaqat02celadm01 systemd[1]: sys-devices-pci0000:20-0000:20:01.1-0000:21:00.0-infiniband-mlx5_0.device: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit initialize_vf.service not found.""",
422764b9,scaqat02celadm01,kernel,1,0.9,"llm-arbiter:
Severity Assessment: Critical – The logs indicate a failure in the Mellanox mlx5_core driver during the transition of a Queue Pair (QP) from INIT to RTR state, resulting in a 'bad parameter' error with syndrome 0x29e0df and error code -22. This failure is accompanied by an RDS/IB error stating 'Failed to setup fastreg resources.' Such errors suggest a misconfiguration or incompatibility between the driver and firmware versions, potentially leading to the inability to establish reliable RDMA communication. This issue can be reproduced by attempting to initialize QPs under the current system configuration. To resolve this, ensure that both the Mellanox driver and firmware are updated to compatible versions, as mismatches can cause similar errors. Additionally, verify the correct configuration of RDMA resources and parameters. This incident involves an Exadata/Exascale-specific component and should be reviewed by development for confirmation or deeper triage.

[Note: reason had fewer than required lines.]",https://forums.developer.nvidia.com/t/bad-input-length-0x50-when-creating-dci-qp/258477;https://www.mail-archive.com/netdev%40vger.kernel.org/msg138617.html,https://docs.nvidia.com/networking/display/mlnxenv23105140lts/bug%2Bfixes%2Bin%2Bthis%2Bversion - NVIDIA documentation detailing bug fixes related to mlx5_core driver;https://forums.oracle.com/ords/apexds/post/node-crashes-when-enabling-rds-for-private-interconnect-5389 - Oracle forum discussing RDS/IB errors and potential solutions,"""Jul 27 17:47:59 scaqat02celadm01 kernel: mlx5_core 0000:21:00.0: mlx5_cmd_out_err:808:(pid 10408): INIT2RTR_QP(0x503) op_mod(0x0) failed, status bad parameter(0x3), syndrome (0x29e0df), err(-22)""
""Jul 27 17:47:59 scaqat02celadm01 kernel: RDS/IB: Failed to setup fastreg resources""",
7594a762,scaqat02celadm01,systemd-modules-load,1,0.8922,known-emb-match,38403638,,"""Jul 27 17:58:33 scaqat02celadm01 systemd-modules-load[2299]: Failed to find module 'rds_rdma'""",
6bfd3774,scaqat02celadm01,systemd,1,0.7923,known-emb-match,38403638,,"""Jul 27 17:58:33 scaqat02celadm01 systemd[1]: rdma-load-modules@rdma.service: Failed with result 'exit-code'.""
""Jul 27 17:58:33 scaqat02celadm01 systemd[1]: Failed to start Load RDMA modules from /etc/rdma/modules/rdma.conf.""
""Jul 27 17:58:35 scaqat02celadm01 systemd[1]: sys-devices-pci0000:20-0000:20:01.1-0000:21:00.0-infiniband-mlx5_0.device: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit initialize_vf.service not found.""",
8169b201,scaqat02celadm01,kernel,1,0.9,"llm-arbiter:
Severity Assessment: Critical – The logs indicate a failure in the Mellanox mlx5 driver during the transition of a Queue Pair (QP) from INIT to Ready-to-Receive (RTR) state, resulting in a 'bad parameter' error with syndrome code 0x29e0df. This failure is accompanied by the RDS/IB subsystem's inability to set up fast registration (fastreg) resources, which are essential for efficient RDMA operations. Such errors can lead to degraded performance or complete failure of RDMA communications, directly impacting Exadata's high-speed interconnect reliability. This issue can be reproduced by attempting to establish RDMA connections under the current system configuration. To resolve this, ensure that the system is running a kernel version that supports the adapter's real-time clock functionality, as kernels prior to version 5.12 may lack this support. Alternatively, disable the REAL_TIME_CLOCK_ENABLE feature on the adapter using the Mellanox Firmware Tools (MFT) package. This incident involves an Exadata/Exascale-specific component and should be reviewed by development for confirmation or deeper triage.

[Note: reason had fewer than required lines.]",https://forums.developer.nvidia.com/t/we-met-an-issue-create-qp-0x500-op-mod-0x0-failed-when-using-mlx5-poll-mode-driver/205941,https://www.mail-archive.com/netdev%40vger.kernel.org/msg138631.html - Discussion on mlx5 'syndrome' errors in kernel log;https://forums.oracle.com/ords/apexds/post/node-crashes-when-enabling-rds-for-private-interconnect-5389 - Oracle forum post on node crashes related to RDS over Infiniband,"""Jul 27 17:58:50 scaqat02celadm01 kernel: mlx5_core 0000:21:00.0: mlx5_cmd_out_err:808:(pid 10664): INIT2RTR_QP(0x503) op_mod(0x0) failed, status bad parameter(0x3), syndrome (0x29e0df), err(-22)""
""Jul 27 17:58:50 scaqat02celadm01 kernel: RDS/IB: Failed to setup fastreg resources""",
b967475b,scaqat02celadm01,kernel,0,0.7832,ignore-emb-match,IGN-37748526,,"""Jul 27 20:54:33 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.83,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:33 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.84,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:33 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.84,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:34 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.83,0> stalling for more than 1 min...(drops=15 err=0)""
""Jul 27 20:54:35 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.50,0> stalling for more than 1 min...(drops=10 err=0)""
""Jul 27 20:54:37 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.81,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:39 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.49,0> stalling for more than 1 min...(drops=10 err=0)""
""Jul 27 20:54:39 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.48,0> stalling for more than 1 min...(drops=10 err=0)""
""Jul 27 20:54:39 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.49,0> stalling for more than 1 min...(drops=10 err=0)""
""Jul 27 20:54:39 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.48,0> stalling for more than 1 min...(drops=10 err=0)""",
8a7f26d4,scaqat02celadm01,kernel,0,0.7865,ignore-emb-match,IGN-37748526,,"""Jul 27 20:54:42 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.49,6> stalling for more than 1 min...(drops=9 err=0)""
""Jul 27 20:54:44 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.117,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:44 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.117,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:46 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.147,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:46 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.148,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:47 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.116,0> stalling for more than 1 min...(drops=15 err=0)""
""Jul 27 20:54:47 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.116,0> stalling for more than 1 min...(drops=15 err=0)""
""Jul 27 20:54:48 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.148,2> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:48 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.148,0> stalling for more than 1 min...(drops=15 err=0)""
""Jul 27 20:54:49 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.147,0> stalling for more than 1 min...(drops=15 err=0)""
""Jul 27 20:54:51 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.115,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:52 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.114,0> stalling for more than 1 min...(drops=15 err=0)""
""Jul 27 20:54:52 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.114,0> stalling for more than 1 min...(drops=15 err=0)""
""Jul 27 20:54:52 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.115,0> stalling for more than 1 min...(drops=15 err=0)""
""Jul 27 20:54:54 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.114,6> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:54:54 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.114,1> stalling for more than 1 min...(drops=14 err=0)""",
c9cba1bd,scaqat02celadm01,kernel,0,0.7791,ignore-emb-match,IGN-37748526,,"""Jul 27 20:55:05 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.149,0> stalling for more than 1 min...(drops=13 err=0)""
""Jul 27 20:55:06 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.150,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:55:06 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.52,::ffff:192.197.252.150,0> stalling for more than 1 min...(drops=14 err=0)""
""Jul 27 20:55:06 scaqat02celadm01 kernel: RDS/IB: re-connect <::ffff:192.197.252.53,::ffff:192.197.252.149,0> stalling for more than 1 min...(drops=14 err=0)""",
198acaee,localhost,dbus-daemon,0,0.9,"llm-arbiter:
Severity Assessment: Non-Critical – The logs indicate repeated attempts by the D-Bus system daemon to activate the 'dbus-org.freedesktop.nm-dispatcher.service' unit, which is not found. This suggests that the NetworkManager-dispatcher service is either not installed, disabled, or its D-Bus service file is missing. The NetworkManager-dispatcher is responsible for executing scripts in response to network events, and its absence may prevent certain network-related scripts from running. However, core network functionality managed by NetworkManager itself should remain unaffected. To resolve this, ensure that the NetworkManager-dispatcher service is installed and enabled. If the service is not required, the error messages can be suppressed by configuring NetworkManager to avoid invoking the dispatcher. This can be achieved by adding 'systemd-resolved=false' to the '[main]' section of '/etc/NetworkManager/NetworkManager.conf'. Similar issues have been discussed in the Arch Linux forums, where users experienced D-Bus activation failures due to missing services, and adjusting NetworkManager configurations provided a solution.

[Note: reason had fewer than required lines.]",https://bbs.archlinux.org/viewtopic.php?id=282376;https://bbs.archlinux.org/viewtopic.php?id=305122,https://bbs.archlinux.org/viewtopic.php?id=202743 - Discussion on D-Bus activation issues related to missing services;https://www.linuxquestions.org/questions/linux-server-73/dbus-problem-with-failed-to-activate-service-%27org-freedesktop.hostname1%27-timed-out-4175619461/ - Similar D-Bus activation failure scenarios and resolutions,"""Jul 28 00:44:02 localhost dbus-daemon[71758]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found.""
""Jul 28 00:44:02 localhost dbus-daemon[71758]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found.""
""Jul 28 00:44:03 localhost dbus-daemon[71758]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found.""
""Jul 28 00:44:03 localhost dbus-daemon[71758]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found.""
""Jul 28 00:44:03 localhost dbus-daemon[71758]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found.""
""Jul 28 00:44:03 localhost dbus-daemon[71758]: [system] Activation via systemd failed for unit 'dbus-org.freedesktop.nm-dispatcher.service': Unit dbus-org.freedesktop.nm-dispatcher.service not found.""",
379c3445,scaqat02celadm02,systemd-modules-load,1,0.8857,known-emb-match,38403638,,"""Jul 27 17:47:23 scaqat02celadm02 systemd-modules-load[2092]: Failed to find module 'rds_rdma'""",
f95f02f2,scaqat02celadm02,systemd,1,0.801,known-emb-match,38403638,,"""Jul 27 17:47:23 scaqat02celadm02 systemd[1]: rdma-load-modules@rdma.service: Failed with result 'exit-code'.""
""Jul 27 17:47:23 scaqat02celadm02 systemd[1]: Failed to start Load RDMA modules from /etc/rdma/modules/rdma.conf.""
""Jul 27 17:47:25 scaqat02celadm02 systemd[1]: sys-devices-pci0000:20-0000:20:01.1-0000:21:00.0-infiniband-mlx5_0.device: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit initialize_vf.service not found.""",
39b3029d,scaqat02celadm02,kernel,1,0.9,"llm-arbiter:
Severity Assessment: Critical – The logs indicate a failure in the Mellanox mlx5 driver during the transition of a Queue Pair (QP) from INIT to RTR state, resulting in a 'bad parameter' error with syndrome code 0x29e0df. This error is associated with the Reliable Datagram Sockets (RDS) over InfiniBand (IB) protocol, as evidenced by the subsequent 'Failed to setup fastreg resources' message. Such failures can disrupt RDS communications, potentially leading to node crashes or instability in Exadata systems. Similar issues have been reported, where enabling RDS over InfiniBand led to node crashes due to kernel bugs in the RDS/IB stack. To reproduce this issue, one could attempt to initialize RDS over InfiniBand on a system with the same kernel and driver versions. Resolution steps include verifying compatibility between the mlx5 driver and firmware versions, ensuring that the RDS/IB stack is correctly configured, and applying any relevant patches or updates. Given the critical nature of this issue and its impact on Exadata reliability, it is imperative to escalate this to development for a thorough investigation and resolution. This incident involves an Exadata/Exascale-specific component and should be reviewed by development for confirmation or deeper triage.

[Note: reason had fewer than required lines.]",https://forums.oracle.com/ords/apexds/post/node-crashes-when-enabling-rds-for-private-interconnect-5389;https://www.mail-archive.com/netdev%40vger.kernel.org/msg138617.html,https://forums.developer.nvidia.com/t/mlx5-rdma-enable-roce-error/286970 - Similar mlx5 driver errors during RDMA operations;https://bugs.launchpad.net/bugs/2083008 - mlx5_core errors related to bad parameter status;https://lists.freebsd.org/pipermail/freebsd-drivers/2016-September/001936.html - mlx5_core command failures with bad parameter status,"""Jul 27 17:47:38 scaqat02celadm02 kernel: mlx5_core 0000:21:00.0: mlx5_cmd_out_err:808:(pid 10420): INIT2RTR_QP(0x503) op_mod(0x0) failed, status bad parameter(0x3), syndrome (0x29e0df), err(-22)""
""Jul 27 17:47:38 scaqat02celadm02 kernel: RDS/IB: Failed to setup fastreg resources""",
b7960652,scaqat02celadm02,systemd-modules-load,1,0.8917,known-emb-match,38403638,,"""Jul 27 17:57:06 scaqat02celadm02 systemd-modules-load[2305]: Failed to find module 'rds_rdma'""",
7a102281,scaqat02celadm02,systemd,1,0.8095,known-emb-match,38403638,,"""Jul 27 17:57:06 scaqat02celadm02 systemd[1]: rdma-load-modules@rdma.service: Failed with result 'exit-code'.""
""Jul 27 17:57:06 scaqat02celadm02 systemd[1]: Failed to start Load RDMA modules from /etc/rdma/modules/rdma.conf.""
""Jul 27 17:57:08 scaqat02celadm02 systemd[1]: sys-devices-pci0000:20-0000:20:01.1-0000:21:00.0-infiniband-mlx5_0.device: Failed to enqueue SYSTEMD_WANTS= job, ignoring: Unit initialize_vf.service not found.""",
